idea_id,source_type,source_ref,raw_idea,hypothesis,rationale,confidence_seed,status,created_at,owner,linked_fcode,review_cycle,hit_status,note,fcode,priority,priority_score,priority_basis
i20260806-008,zoo,"The Intramonth Momentum Cycle (Alpha Architect, 2026) https://alphaarchitect.com/feed/","动量收益集中在每月结束前4个交易日之前的6天窗口(PreTOM):投资者为月末付款需求抛售亏损股,输家在此窗口额外跑输","在每月倒数第10至倒数第5个交易日窗口内,过去60日收益最低十分位的股票相对全市场等权基准的窗口内累计超额收益显著为负(该窗口外无此效应)","Alpha Architect《The Intramonth Momentum Cycle》:美股 WML 只在月末前6天窗口投资,1980-2025 把1美元变成18.78,其余时段仅2.37;不对称性明显——底部十分位输家在窗口内每日额外跑输7.2bp,赢家无对应模式;SEC 2024 年 T+2→T+1 造成窗口前移一天,构成因果识别;19个发达市场可复制。A股适配点:无T+1结算差异,但有月末公募排名/赎回、季末考核与银行间资金面紧张(参见半年末流动性收紧导致低成长资产被抛的报道),抛售压力机制可能同样存在。这是**日历×动量交互**,与池中所有截面因子正交,信息增量高。数据:仅需日频收益+交易日历,baostock query_trade_dates 可用",mid,hypothesized,2026-08-06,factor-scout,,2026-11-04,pending,,,P2,45.0,因子动物园来源，研究价值中等
i20260806-009,zoo,Discovery of a 13-Sharpe OOS Factor: Drift Regimes Unlock Hidden Cross-Sectional Predictability (arXiv:2511.12490) https://ui.adsabs.harvard.edu/abs/2025arXiv251112490S/abstract,"只在个股'漂移状态'(过去63日上涨日占比>60%)下激活价值+短期反转信号,声称OOS夏普>13","在过去63个交易日上涨日占比>60%的股票子样本中,短期反转信号(过去5日收益取负)对未来5日收益的 RankIC 显著高于其余子样本(两组 RankIC 差值 t>2)","**这条是当反例纳入的**:原文宣称 OOS 夏普>13、年化158.6%、最大回撤仅-11.9%、1000次随机化 p<0.001——夏普13在股票多空里基本等同于'流程有泄漏或样本内调参',属于典型过拟合红旗,故置信度按 zoo(mid)而非 paper(high)登记。但剥掉夸张业绩后,里面有一个干净可测的命题:**上涨日占比这个状态变量能否条件化增强反转因子**。测它有两重价值:(1)若差值不显著→给我们的 DSR/PBO 过拟合审计增加一个真实反面样本;(2)若显著→为 i20260805-007(反转强度按过去收益符号分组)提供更优的条件变量。做法上必须走 walk-forward + 参数冻结,不许调63/60%这两个参数",mid,hypothesized,2026-08-06,factor-scout,,2026-11-04,pending,,,P2,45.0,因子动物园来源，研究价值中等
i20260810-001,paper,"A Unified Framework for Anomalies Based on Daily Returns (Cakici, Fieberg, Neszveda, Bianchi, Zaremba, 2026) https://spacefrontiers.org/r/10.2139/ssrn.6005614",上月日收益序列（排序向量）本身就是一个统一的异象信息源：DRIF（Daily Return Information Factor）宣称可吸收绝大多数短周期与彩票型异象,将过去21个交易日的日收益由小到大排序得到21维分位向量，各分位截面标准化后按其滚动历史IC符号加权合成打分DRIF，该打分越高→未来20日收益越高；且对短期反转、MAX5、MIN3三个因子做正交后，DRIF残差IC衰减<30%（反之：若正交后IC归零，则说明池内已有因子已穷尽该信息，本条被证伪）,机制：投资者对上月日度收益路径（而非仅累计收益）存在系统性误定价——尾部形态、极值位置、分布偏斜共同影响关注度与彩票偏好。这条同时是对池内 i20260805-007（短期反转）/ i20260805-009（MAX5）/ i20260806-001（MIN3）的清算式检验：若 DRIF subsume 三者，因子池可做一次合并瘦身。数据：仅需日频收盘价，BaoStock 已覆盖。,high,hypothesized,2026-08-10,factor-scout,,2026-11-08,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260810-002,paper,"The Narrative Factor: A Systematic Approach to Capturing Narrative Alpha from Public Discourse (Reese, 2026) https://ssrn.com/abstract=6685058",叙事因子：公共话语中某主题被讨论的强度变化，映射到个股主题暴露上，可预测截面收益，且与传统风格因子低相关,个股所属概念/主题板块的近20日热度（以板块成交额占全市场成交额比重为代理）相对其过去120日均值的z-score越高→个股未来20日收益越高；且该信号对60日动量与20日换手率正交后仍保留显著正IC,机制：叙事扩散先改变预期与增量资金流向，再反映到价格，存在扩散时滞。原文称风险调整后收益约为标准动量的3倍且与价值/质量低相关。数据依赖：需要概念板块成分与板块成交额（BaoStock 无，需 westock data_sector 或额外源）——列为待数据灵感，先入池不排期。,high,hypothesized,2026-08-10,factor-scout,,2026-11-08,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260810-003,paper,"Interpretable Factor Decomposition for Decision Intelligence in Large-Scale Financial Markets: Evidence from China's A-Share Market (Han et al., arXiv:2606.12843) https://www.arxiv.org/abs/2606.12843",A股可解释ML归因实证：行为类信号（换手率+动量）贡献58.2%的预测归因，估值比率仅10.7%,在A股全样本、20日持有期下，行为类因子（换手率类+动量类）等权合成打分的 |RankIC| 显著高于估值类因子（PB、PE倒数）等权合成打分，差值>0.02；且该差距在小市值三分之一组内比大市值组更大,机制：A股散户交易占比高、换手率极高，价格发现更多由交易行为而非估值锚驱动。这是一条『资源分配型』假设——若成立，因子工厂应把研发预算优先压在量价侧而非基本面侧；若被证伪（估值类IC相当），则需重新平衡研发路线。原文样本2009-2019、3632只A股，RankIC 0.119、多空+2.38%/月（t=5.94）。数据：日频量价已有，PB/PE 需财务源。,high,hypothesized,2026-08-10,factor-scout,,2026-11-08,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260810-004,paper,"Cross-Market Alpha: Testing Short-Term Trading Factors in the U.S. Market via Double-Selection LASSO (Du, Walter, Ulrich, arXiv:2601.06499) https://arxiv.org/abs/2601.06499",源自A股散户结构的短线量价因子（Alpha191类）在控制151个基本面因子后，对美股截面收益仍有增量——反过来说短线量价信息在A股本土应更强,取 Alpha191 中窗口≤10日的量价类因子等权合成打分，在A股全样本上未来10日 RankIC 显著为正（|IC|>0.02、ICIR>0.3）；且对市值、PB、60日动量做正交后 IC 衰减<30%,机制：A股散户主导、政策敏感、高频活跃，短线量价包含的行为信息独立于基本面。原文用 double-selection LASSO 在控制151个美股基本面因子后仍筛出17个Alpha191因子在5%水平显著——跨市场存活是强稳健性证据。对本工厂的意义是一条『元假设』：验证短线量价赛道整体值不值得继续投入。数据：日频量价即可。,high,hypothesized,2026-08-10,factor-scout,,2026-11-08,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260820-031,paper,"Momentum Returns and the Role of Liquidity Improvements (Jeppe Bro, 2026-03, SSRN) / StockViz 复现 https://stockviz.biz/index.php?p=40890528",动量溢价可能来自流动性动态而非独立风险溢价：过去赢家在组合形成期前系统性流动性改善、输家显著恶化；用流动性改善度(LIQIM)过滤动量组合可再挤出约50bp,控制20日动量后，流动性改善度（近20日 Amihud 非流动性 相对 前20日 Amihud 的下降幅度，行业+PIT市值中性化）越高→未来20日收益越高；且在动量多头组内，流动性恶化子样本未来20日收益显著低于流动性改善子样本,"机制=流动性改善意味着交易成本下降与关注度上升、价格发现加速，动量因此得以延续。Bro(2026,SSRN)主张动量是流动性动态的伴生物，StockViz 在印度长多组合复现约50bp增量（境外样本，不可直接搬 A股）。我方已有 i20260806-006（Amihud 水平量），本条是**差分/改善速度**维度，须先测两者 RankIC 相关（>0.8 则合并）；并与 f0006a(动量20日) 正交检验——本条更可能以'条件过滤'而非独立打分形态生效。数据仅需日频 amount 与 |ret|，无 PIT 隐患。",high,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260820-032,paper,"Skewness Managed Portfolios (Gong/Lynch/Ogden, 2026) — Alpha Architect 解读 https://alphaarchitect.com/anomaly-returns",18个主流异象的收益高度依赖极少数极端正偏个股；用横截面回归预测下月偏度、在多头腿内偏向高预期偏度、空头腿内偏向低预期偏度，18个异象平均年化+5.45pct、夏普+0.12（计成本后降至+1.58pct）,在既有因子多头组内按预期偏度（用滞后特征：波动率、过去收益、市值、行业 回归拟合下月已实现偏度）再分三档，最高档未来20日收益高于最低档；经该倾斜后的组合20日 IC 与 ICIR 高于原组合,机制=投资者偏好正偏(彩票)资产压低其未来收益——注意这与 MAX5(i20260805-009) 方向相反：Gong/Lynch/Ogden(2026) 的用法是**在异象腿内做二次倾斜**（长腿要高偏度以吃极端上涨、空腿避开可能暴涨的票），而非独立做多高偏度，二者不冲突但必须分开检验。落地必须 walk-forward 估计偏度回归并冻结参数；原文 5.45pct 为美股1963-2024全样本、计成本后缩至1.58pct，视为上界。须与 MAX5、f0002a(ivol) 测相关性。,high,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260820-033,zoo,"Two Accounting Anomalies: One May Be Risk, the Other Is Mispricing (Penman & Zhu) — Alpha Architect https://alphaarchitect.com/accounting-anomalies/",Penman&Zhu 在市场+对冲双因子框架下发现：应计项目排序组合 alpha 近零（可被风险暴露解释），而 PEAD/SUE、动量、预期修正的 drift 无法被解释，属错误定价且 PEAD 随时间衰减,A股上标准化预期外盈利(SUE，按公告日严格滞后取用)截面越高→未来20日收益越高；同期应计项目(净利润−经营现金流，总资产标准化)的20日 RankIC 绝对值显著小于 SUE，且在控制 SUE 后无增量,机制=盈利公告信息扩散不完全(注意力有限)造成可套利的 drift；应计更像风险特征代理而非错误定价。可证伪点很硬：若 A股 accruals 的 |IC| ≥ SUE，本条即被否。跨源印证：国信金工8月周报点名'标准化预期外收入'为中证1000年内最优因子之一。⚠️数据依赖财报现金流量表+公告日，须严格 PIT 滞后（PIT 红线：先验字段随时间变化性）；若 provider 拿不到公告日，本条降级为只测 SUE，不得用未滞后财务数据硬跑。,mid,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P2,45.0,因子动物园来源，研究价值中等
i20260820-034,zoo,AQR/Research Affiliates/Alpha Architect 动量落地流程综述 + 申万宏源金工海外量化研究系列之七 https://m.10jqka.com.cn/20260820/c679125348.shtml,Alpha Architect 动量落地流程：先按12-1月相对动量排序，再剔除绝对动量为负者(12月收益低于无风险)，只买剩余头部，月度再平衡——两步过滤保护动量崩塌,相对动量(12月剔除最近1月)前20%的股票中，同时满足12个月绝对收益>0 的子样本，未来20日收益高于绝对收益<0 的子样本；相对+绝对双过滤组合的20日 IC 与分层回测最大回撤优于纯相对动量,机制=绝对动量过滤把'下跌市中的相对强势'排除，规避 momentum crash。A股长期动量通常弱于反转，因此真正的可证伪点是'双过滤能否把 A股 12-1 动量从无效救成有效'。须与 f0006a(20日动量)、i20260805-007(短期反转) 做方向与相关性检验；若 A股 12-1 相对动量本身 IC 显著为负，则改测单边命题'绝对动量为负→未来20日收益更低'，不要为救假设而调参。,mid,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P2,45.0,因子动物园来源，研究价值中等
i20260805-001,sell_side,东方证券《盈余公告异象类因子改进》杨怡玲 2025-04,"经典AOG(盈余公告次日开盘跳空超额)近三年失效,因知情交易者提前拉升透支业绩","盈余公告次日隔夜跳空截面rank分位数 减去 公告前20日该rank最大值,取值越高→未来20日超额收益越高","有限注意+PEAD,但剥离公告前已定价的知情交易成分,只留真正未预期部分",high,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P2,42.0,卖方研究来源，研究价值中等
i20260805-002,sell_side,东方证券 AOG_RANK_PRE_QUANTILE_20 部分,公告前20日隔夜跳空rank取低分位(20%)反映股价'最差那天也没怎么低开'=盈利质量下限,公告前20日隔夜收益截面rank的20%分位数越高→未来20日超额收益越高,"隔夜收益由基本面定价驱动,左尾位置度量'坏消息缺席'而非好消息强度,捕捉盈利凸性/下行保护,与动量低相关",high,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P2,42.0,卖方研究来源，研究价值中等
i20260805-003,sell_side,东吴金工《日与夜之殊途同归》高子剑 2025-08,"把日收益拆成隔夜段与日内段分别用成交量修正再合成动量,全A多空年化17.93% IR2.05",过去20日累计隔夜收益高、累计日内收益低的股票→未来20日收益更高(相对两段和相同但结构相反的股票),"隔夜由信息/机构定价有延续性,日内由散户情绪有反转性,简单加总相互抵消,分解后信噪比提升",high,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P2,42.0,卖方研究来源，研究价值中等
i20260806-005,sell_side,【招商因子周报20260529】本周大盘和盈利风格显著 https://news.10jqka.com.cn/field/20260531/677102770.shtml,成交量变异系数(20日/60日成交量标准差÷均值)被多家券商周报点名为近期有效因子,"20日成交量变异系数(日成交量标准差/日成交量均值)越高,未来20日收益越低(行业+市值中性化后 RankIC 显著为负)","招商因子周报20260529/20260612 连续两期在中证1000与全市场池点名 20日/60日成交量变异系数表现居前。机制假设:成交量高度不稳定=筹码换手无序、题材投机主导,后续均值回复。**符号警示**:周报只报'因子表现较好'未明示方向,此处 -1 方向为先验(投机性折价),实测若符号为正需回写修正而非硬凑。与已有 i20260805-011(换手率水平)、i20260805-010(换手率超阈值)区别:该因子测的是成交量的**离散度**而非水平,须先算相关性再决定是否并入",high,hypothesized,2026-08-06,factor-scout,,2026-11-04,pending,,,P2,42.0,卖方研究来源，研究价值中等
i20260806-006,sell_side,【招商因子周报20260612】本周大盘和低流动风格显著 https://m.10jqka.com.cn/20260614/c677448695.shtml,20日非流动性冲击(Amihud illiquidity)在沪深300、中证1000、全市场池连续多期表现居前,"20日 Amihud 非流动性(日均 |日收益| / 日成交额)越高,未来20日收益越高(流动性溢价方向;行业+市值中性化后 RankIC 显著为正)","招商因子周报20260612 沪深300池'20日非流动性冲击'、中证1000池同因子均居当周前三;国泰海通权益因子周报第134期亦在中证全指点名'20日日均交易金额'。机制:单位成交额撬动的价格冲击越大→做市/承接成本越高→需要更高预期收益补偿(Amihud 1986/2002)。数据:baostock 日频 amount+pctChg 直接可算,零新增数据成本。风险:A股小盘股流动性溢价常被市值因子吃掉,必须做市值中性;与 i20260805-011(低换手→高收益)可能同源,需查相关性",high,hypothesized,2026-08-06,factor-scout,,2026-11-04,pending,,,P2,42.0,卖方研究来源，研究价值中等
i20260820-035,sell_side,中金：基于 Loop Engineering 的自动化因子发现引擎 https://finance.sina.com.cn/stock/stockzmt/2026-08-05/doc-inimffsv4845270.shtml,中金 Loop Engineering 自动因子发现引擎：581轮迭代测16939个候选、留69个独立因子，最亮眼者为'振幅扩张与跳空溢价背离'——跳空标准化长期均值高于振幅差分（持续高开但日内波动未同步放大）,(近60日隔夜跳空率的标准化均值 − 近20日振幅相对前20日振幅的扩张速度z) 越高→未来20日收益越高（行业+PIT市值中性化）,机制='高开有质'——隔夜溢价稳定而日内波动未放大，说明跳空来自信息/基本面而非投机放量博弈；反之跳空伴随振幅骤扩更像情绪投机。中金报周度回测2025/2026费后超额11.6%/19.9%、夏普2.64（Wind口径、样本仅约1.5年，且系搜索式挖掘=多重检验重灾区，视为上界，必须过 DSR/PBO 才可出包）。与 f0008a(隔夜跳空)、f0001a(隔夜-日内反转)、f0005a(量能扩张速度) 三者都要测相关，>0.8 应合并；本条独立性来自'跳空水平 vs 振幅速度'的**差**而非任一水平量。,high,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P2,42.0,卖方研究来源，研究价值中等
i20260820-036,sell_side,国盛金工《'量价淘金'选股因子系列研究(十八)》 https://www.fxbaogao.com/detail/5588421,国盛'量价淘金'系列(十八)：以'价格处于高/低位 × 是否放量'交叉定义上千种事件信号，筛有效且低相关者合成高/低位放量事件簇，中证800 绝对收益策略年化18.31%、IR2.09、卡玛2.51，且自带风格与仓位择时,低位放量事件（收盘价处于近60日价格分位<20% 且 当日成交量/近20日均量>1.5）当日的个股，未来20日收益高于全市场中位数；高位放量事件（价格分位>80% 且 量比>1.5）则未来20日收益低于中位数,机制=低位放量=底部筹码承接/新增资金介入，高位放量=派发出货。国盛原版依赖高频逐笔并从上千信号中筛选(选择性偏差风险大)，我方只取**日频可实现的最小骨架**(价格分位×量比)，刻意不复制其信号海选。与 f0005a(量能扩张速度)、i20260806-005(成交量变异系数) 测相关。关键可证伪点='高/低位两侧符号必须相反'，若同号则事件簇的派发/承接解释被否，退化为单纯量能因子。原文18.31%来自含仓位择时的事件驱动组合，不可直接类比我方纯截面 IC。,high,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P2,42.0,卖方研究来源，研究价值中等
i20260820-037,sell_side,中证1000增强组合年内超额20.39%【国信金工】 https://m.10jqka.com.cn/20260816/c678985975.shtml,国信金工周报连续点名'特异度'为中证1000空间内今年以来表现最佳因子之一（今年以来：特异度、标准化预期外收入、三个月反转居前）,特异度（个股近60日日收益对市场+行业收益回归的 1−R²，即特质性占比）越高→未来20日收益越高（行业+PIT市值中性化）,机制=特异度高=定价较少被系统性因素驱动、更多来自个股自身信息，A股散户结构下高特异度个股更易被错误定价并随后修复；亦可读作'低系统性关注度溢价'。⚠️**必须与 f0002a(特质波动率水平) 及 i20260805-008(日收益对时间回归 R²，趋势平滑度) 双向做相关检验**：三者都含 R²/残差但口径不同（系统性占比 vs 残差水平 vs 时间趋势拟合），若与任一 |corr|>0.8 则合并、不另立编号。数据全为日频价量，无 PIT 隐患。,high,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P2,42.0,卖方研究来源，研究价值中等
i20260820-038,sell_side,市场继续磨底｜国联民生金工 https://www.toutiao.com/article/7674632815384592923/,国联民生金工周报：本周12个月残差动量因子多头超额最佳(1.11%)，'1个月收益率因子'与'特质波动率比率因子'并列次之(各0.75%),特质波动率比率（近20日特质波动率 / 近120日特质波动率）越低→未来20日收益越高（行业+PIT市值中性化）,机制=比率<1 表示个股近期特质波动收敛(分歧消退/信息落地)，波动收敛后常有正向漂移；比率是**无量纲相对量**，能剥离 f0002a(ivol 水平) 残留的规模与行业成分，故二者可能低相关而互补。可证伪点：若该比率与 f0002a 的 RankIC 相关 >0.8，则视为 ivol 的单调变换、不另立编号。同源提到的12个月残差动量属长期动量族，由本期另一条目覆盖，不重复计入。,high,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P2,42.0,卖方研究来源，研究价值中等
i20260820-039,sell_side,市场继续磨底｜国联民生金工（分指数因子表现）https://www.toutiao.com/article/7674632815384592923/,国联民生金工分指数因子表现：中证1000中'1年-1个月的收益率'因子超额收益达20.85%，为小盘空间最突出因子之一，反映小市值环境对预期变化更敏锐,12个月剔除最近1个月的累计收益(12-1动量)越高→未来20日收益越高，且该正向关系在中证1000样本内显著强于沪深300,机制=经典 Jegadeesh-Titman 动量在剔除最近1月微观结构噪声后成立。A股通常被认为长期动量弱、短期反转强，因此本条可证伪价值高——若 12-1 动量在 zz1000 上 IC 显著为正，说明我方 f0006a(20日动量)窗口过短、遗漏了中期动量维度。须同时报 hs300/zz1000 双池 IC 以检验'小盘更强'的交互主张（走 universe_matrix 附属视图）；与 f0006a、f0007a(5日反转) 测相关性。,high,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P2,42.0,卖方研究来源，研究价值中等
i20260805-010,forum,今日头条《一个超级有效的换手率因子!极大值》,"按申万一级+市值三组切同质小组,组内换手率80%分位为阈,统计超阈幅度均值","行业×市值分组内,过去21日中日换手率超组内80%分位阈值的那些交易日超出幅度均值越大→未来20日收益越高","度量相对同类基准的持续异常度=增量资金定向流入,而非结构性高流动性;分组中性化剥掉风险暴露剩资金流信息",low,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P3,35.0,社区闲聊来源，未验证，最低
i20260805-011,forum,东方财富 石川测算转述,"换手率与预期收益负相关且随市值单调衰减:小市值低换手大幅跑赢,大市值几乎无效",过去20日平均换手率越低→未来20日收益越高;负向斜率在小市值分组显著陡于大市值(交互项可证伪),高换手=过度自信与投机交易是高估征兆;小市值散户占比高卖空更难投机溢价更难纠正故效应更强,low,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P3,35.0,社区闲聊来源，未验证，最低
i20260805-012,forum,集思录 微盘股回撤复盘 / 国金资管多资产月报,"小市值策略近三年涌入同质化资金,集中踩踏回撤超2015顶部,需低成交低换手消化期恢复",小市值组合成交额占全市场比重相对其250日均值z-score高位时→小市值因子未来20日多空收益更低;低位则更高,"拥挤度=未来卖压存量,同质策略集中持有流动性薄弱股,超额已透支,冲击触发赎回-抛售反身循环;属overlay择时信号",low,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P3,35.0,社区闲聊来源，未验证，最低
i20260806-010,forum,大A的K线五大经典形态量化分析(长上影线/长下影线/大阳线/大阴线/十字星) https://new.qq.com/rain/a/20260723A0AAG600?refer=cp_1009,"A股个股长下影线(锤子线)不是教科书说的看涨反转,而是弱看跌信号:10日收益中位数-1.08%","当日出现长下影线(下影线长度>=实体长度x2,且当日实体涨跌幅绝对值<5%)的个股,未来10个交易日相对全市场等权基准的超额收益中位数为负","来源为量化论坛精华帖,称基于5800+只A股、17个指数、1360+只ETF、2007-2026约1800万个交易日的系统化回测,给出:长下影线10日中位数-1.08%(与教科书'锤子线看涨'方向相反)、长上影线-0.32%(方向对但弱),并强调必须做**基准概率对比**(A股随机某日上涨概率本身不等于50%)。可信度低(个人帖、无代码无样本外),但命题本身干净可测、数据零成本(日频OHLC即可),且给灵感池补上'日内价格位置形态'这一缺失维度。检验纪律:必须扣掉同期基准收益算超额,否则会掉进帖子自己点名的'基准概率陷阱'",low,hypothesized,2026-08-06,factor-scout,,2026-11-04,pending,,,P3,35.0,社区闲聊来源，未验证，最低
i20260806-011,forum,浙文互联1月23日龙虎榜数据(证券时报·数据宝) https://baijiahao.baidu.com/s?id=1855100947021637188,"因日涨幅偏离值上榜龙虎榜的个股,上榜后次日与5日平均仍为正收益(媒体反复统计口径)","因'日涨幅偏离值达标'登上龙虎榜的个股,上榜次日至第5个交易日的累计收益相对全市场等权基准的超额收益均值为正","证券时报数据宝在多篇个股龙虎榜报道中给出同一口径的历史统计,如浙文互联'近半年累计上榜6次,上榜次日平均涨4.46%、5日平均涨5.57%',顺钠股份'近半年上榜次日平均+4.2%、5日平均+11.7%'。这是**幸存者/选择性报道**高风险样本(媒体只写涨得好的),所以按 forum-low 登记,且检验必须用全量上榜名单而非报道样本。价值在于给灵感池引入一个全新数据维度:公开交易信息(游资/机构/北向席位),与现有纯量价因子正交。数据缺口:baostock 无龙虎榜,需接 akshare stock_lhb_detail_em,属新增数据源工作量",low,hypothesized,2026-08-06,factor-scout,,2026-11-04,pending,,,P3,35.0,社区闲聊来源，未验证，最低
i20260806-012,forum,"神剑股份(SZ002361)龙虎榜分析(东方财富财富号,2026-03-31) https://caifuhao.eastmoney.com/news/20260331031208021061480","融资余额5日快速增加(杠杆资金激进追涨)之后,个股短期承压","融资余额5日增幅(按流通市值标准化)越高的个股,未来20个交易日收益越低(行业+市值中性化后 RankIC 显著为负)","多篇龙虎榜/资金分析报道把'融资余额近5日增幅56.69%、占流通市值5.02%'与'杠杆资金短期激进追涨'、'估值显著偏离行业中枢'并列描述,隐含加杠杆追高后回吐的机制。学理上对应 margin debt 扩张与后续负收益的杠杆周期逻辑。低置信登记原因:报道是叙事而非统计检验,方向属先验。数据缺口:baostock 无两融明细,需 akshare stock_margin_detail_sse/szse(仅覆盖标的券),样本会被限制在两融标的池内,须在同一池内做基准对照避免池选择偏差",low,hypothesized,2026-08-06,factor-scout,,2026-11-04,pending,,,P3,35.0,社区闲聊来源，未验证，最低
i20260820-040,forum,雪球《深度研判报告 8/17》(犟龟分析) https://xueqiu.com/1163518403/405371591,雪球量化专栏用 rank_autocorr（个股收益截面排名的日间自相关）刻画'赚钱效应是否延续'：连续三日为负(-0.11/-0.23/-0.12)时判定为结构性缩容亢奋而非普涨安全期,当市场层面 rank_autocorr（当日截面收益排名与前一日排名的 Spearman 相关，取近5日均值，仅用 T 日及之前数据）为负时，5日反转因子的未来5日 RankIC 显著高于其为正时；反之20日动量因子的 IC 更高,机制=排名自相关直接衡量'强者是否继续强'，天然是动量 vs 反转占优状态的度量。这是**门控/overlay 假设，不是新截面因子**，落地形态应为 s-code 候选或因子权重调节器。🔴exec_lag 红线：门控状态必须 shift(1) 后再叠加，禁止用 T 日 rank_autocorr 解释 T 日因子收益——该量由当日收益构成，同期使用近乎同义反复(参照 breadth 造出 Sharpe 5.99 假象的血泪)。来源为雪球个人专栏，其状态机命名与概率数字不可核实、未写入假设，置信度自动 low。,low,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P3,35.0,社区闲聊来源，未验证，最低
i20260820-041,forum,8月A股核心变量排序：业绩为何力压政策、美联储登顶 https://www.toutiao.com/article/7672291135364039209,多家卖方(光大/申万/银河)在8月策略中主张：8月是A股历史上盈利因子表现最强的月份，中报密集披露把市场从'炒预期'切到'炒业绩'，行业利润增速极端分化(电子+154.7% vs 钢铁-510.2%),盈利类因子(单季净利同比增速 YOYNI 或 SUE)的20日 RankIC 在财报密集披露月(4月、8月)显著高于其余月份；按月历加权(披露月加倍)后的合成打分 ICIR 高于等权合成,机制=财报窗口内不确定性集中释放、基本面信息定价效率上升，盈利因子信噪比提高。与 i20260806-008(PreTOM 月末窗口)属不同日历维度(月内位置 vs 年内月份)，与 i20260806-004(YOYNI 水平)是**交互项**而非重复。可证伪点明确：分月统计 IC 若无显著月份差异即否。⚠️数字系媒体转述卖方、未核原文；且4/8两月每年仅2个窗口，样本极少，须报 Newey-West t 且至少8年样本，警惕日历异象的多重检验陷阱。,low,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P3,35.0,社区闲聊来源，未验证，最低
i20260820-042,forum,雪球《燕京客·观风录·陆》北向迷踪 https://xueqiu.com/7274143389/401549683,雪球专栏称跨境量化的固定套路是早盘30分钟脉冲拉升诱多、尾盘MOC做收盘价；并称'早盘脉冲式流入，超八成当日冲高回落收长上影线',当日出现长上影线（(最高−收盘)/(最高−最低)>0.6 且 当日成交量/20日均量>1.5）的个股，未来5日收益低于全市场中位数（行业+PIT市值中性化）,机制=盘中高价被资金脉冲推上却守不住=买盘不可持续/派发，属日内供需失衡在日频上的可观测残影。我方无 L2 与分钟数据，故不做'早盘30分钟资金流'原版，只用 high/low/close 构造上影线比例作代理。与 i20260806-010(长下影线弱看跌)构成同族对侧检验：若两者都为负向预测，说明真正起作用的是'影线幅度=波动/换手'而非方向，需控波动率后复测。来源为雪球个人专栏，'超八成'不可核实、未写入假设，置信度自动 low。,low,hypothesized,2026-08-20,factor-scout,,2026-11-18,pending,,,P3,35.0,社区闲聊来源，未验证，最低
i20260824-001,sell_side,"【方正金工】主动权益通讯、电子仓位占比提高,预期类因子持续高光,'真知灼见'因子今年以来多头超额9.3% https://finance.sina.com.cn/wm/2026-04-26/doc-inhvvuye8429411.shtml",分析师一致预期修正动量：方正'预期惯性'/'真知灼见'实证分析师预期调整类因子2026年强势回归，预期惯性组合YTD超额13.84%,过去20个交易日分析师一致预期(EPS/目标价)上调幅度累计(或上调机构数占比变化)越高的个股，未来20个交易日收益越高(行业+市值中性化后RankIC显著为正),"机制=盈利信息渐进扩散+分析师修正惯性(Revision Momentum,经典异象)。与 i20260820-033(SUE-PEAD)互补：SUE是公告后意外，本条目是修正的'动量'(连续上调趋势)而非单次意外；与 i20260806-004(单季净利YOYNI)不同：用卖方预期而非已实现增速。数据依赖：需分析师一致预期源(当前管线无，列待接入数据源候选，akshare/tushare有盈利预测接口)。建包前须先做PIT滞后(取T日及之前可得一致预期)防前视；与现有动量类因子先测相关性，>0.8应合并。",high,hypothesized,2026-08-24,factor-scout,,2026-11-22,pending,,,,,
